Issue_ID,Application_ID,Issue_Type,Severity,Original_Value,Corrected_Value,Resolution,Detected_By
DQ00948,APX1082305,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00949,APX1082381,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00950,APX1083324,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00951,APX1083546,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00952,APX1083863,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00953,APX1084257,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00954,APX1084343,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00955,APX1084689,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00956,APX1085982,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00957,APX1086126,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00958,APX1086591,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00959,APX1087302,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00960,APX1087439,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00961,APX1087448,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00962,APX1087857,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00963,APX1088214,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00964,APX1088699,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00965,APX1088762,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00966,APX1088948,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00967,APX1089104,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00968,APX1089221,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00969,APX1089376,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00970,APX1089980,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00971,APX1090419,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00972,APX1090425,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00973,APX1090809,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00974,APX1091237,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00975,APX1091836,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00976,APX1092240,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00977,APX1092426,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00978,APX1092590,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00979,APX1092807,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00980,APX1092673,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00981,APX1092992,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00982,APX1093489,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00983,APX1094007,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00984,APX1094181,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00985,APX1094451,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00986,APX1094359,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00987,APX1094440,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00988,APX1094472,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00989,APX1094724,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00990,APX1094959,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00991,APX1095242,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00992,APX1096776,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00993,APX1096862,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00994,APX1097410,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00995,APX1097462,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00996,APX1098358,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00997,APX1098459,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00998,APX1098751,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ00999,APX1098923,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ01000,APX1099748,Missing_Product_Type,High,,,Quarantine (required analytical field missing),missing[Product_Type]
DQ01001,APX1000239,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01002,APX1000490,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01003,APX1000551,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01004,APX1000575,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01005,APX1001151,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01006,APX1001678,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01007,APX1001763,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01008,APX1001955,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01009,APX1001894,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01010,APX1002306,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01011,APX1002937,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01012,APX1003130,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01013,APX1003748,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01014,APX1004009,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01015,APX1004397,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01016,APX1004470,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01017,APX1004660,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01018,APX1005499,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01019,APX1005751,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01020,APX1005757,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01021,APX1005690,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01022,APX1005844,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01023,APX1005848,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01024,APX1006044,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01025,APX1006433,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01026,APX1006485,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01027,APX1006804,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01028,APX1007351,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01029,APX1007457,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01030,APX1008173,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01031,APX1008686,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01032,APX1008826,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01033,APX1009568,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01034,APX1009859,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01035,APX1010065,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01036,APX1010560,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01037,APX1011183,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01038,APX1011464,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01039,APX1011782,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01040,APX1012270,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01041,APX1012502,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01042,APX1012654,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01043,APX1013093,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01044,APX1013673,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01045,APX1014032,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01046,APX1014689,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01047,APX1015059,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01048,APX1016011,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01049,APX1016105,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01050,APX1016786,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01051,APX1016793,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01052,APX1016889,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01053,APX1017009,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01054,APX1017062,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01055,APX1017138,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01056,APX1017135,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01057,APX1017457,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01058,APX1017446,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01059,APX1017654,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01060,APX1017984,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01061,APX1018053,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01062,APX1019927,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01063,APX1020181,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01064,APX1020159,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01065,APX1020111,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01066,APX1022703,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01067,APX1023451,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01068,APX1024597,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01069,APX1025266,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01070,APX1025214,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01071,APX1025358,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01072,APX1025395,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01073,APX1026037,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01074,APX1026296,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01075,APX1027074,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01076,APX1027152,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01077,APX1027198,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01078,APX1027344,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01079,APX1027499,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01080,APX1027783,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01081,APX1027741,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01082,APX1028536,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01083,APX1029204,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01084,APX1029353,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01085,APX1029676,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01086,APX1029726,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01087,APX1030326,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01088,APX1030395,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01089,APX1030535,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01090,APX1030829,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01091,APX1031082,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01092,APX1031112,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01093,APX1031192,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01094,APX1032070,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01095,APX1032163,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01096,APX1033789,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01097,APX1034253,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01098,APX1034360,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01099,APX1034618,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01100,APX1034998,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01101,APX1035091,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01102,APX1035346,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01103,APX1035667,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01104,APX1036248,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01105,APX1036692,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01106,APX1036651,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01107,APX1037088,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01108,APX1037319,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01109,APX1038019,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01110,APX1038124,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01111,APX1038070,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01112,APX1038459,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01113,APX1038622,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01114,APX1038946,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01115,APX1039627,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01116,APX1040131,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01117,APX1040243,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01118,APX1040653,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01119,APX1040765,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01120,APX1040965,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01121,APX1041192,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01122,APX1041204,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01123,APX1041440,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01124,APX1041820,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01125,APX1041764,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01126,APX1041797,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01127,APX1041961,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01128,APX1042079,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01129,APX1042087,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01130,APX1042652,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01131,APX1042633,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01132,APX1042831,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01133,APX1043324,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01134,APX1043932,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01135,APX1044259,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01136,APX1044498,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01137,APX1044489,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01138,APX1045128,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
DQ01139,APX1045333,Missing_Analyst_ID,Medium,,UNKNOWN-ANALYST,Correct: impute placeholder 'UNKNOWN-ANALYST',missing[Analyst_ID]
